tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt8002276	tvEpisode	Episode dated 12 February 2018	Episode dated 12 February 2018	0	2018	\N	\N	News
tt8002280	tvEpisode	Episode #1.77	Episode #1.77	0	2016	\N	\N	Adventure,Animation,Comedy
tt8002282	tvEpisode	Picture Abhi Baaki Hai	Picture Abhi Baaki Hai	0	2018	\N	\N	Drama,Romance
tt8002284	tvEpisode	Episode dated 13 February 2018	Episode dated 13 February 2018	0	2018	\N	\N	News
tt8002286	tvEpisode	Episode dated 10 January 2018	Episode dated 10 January 2018	0	2018	\N	\N	Drama
tt8002288	tvEpisode	Episode dated 14 February 2018	Episode dated 14 February 2018	0	2018	\N	\N	News
tt8002292	tvEpisode	Episode #1.78	Episode #1.78	0	2016	\N	\N	Adventure,Animation,Comedy
tt8002294	tvEpisode	Episode dated 12 January 2018	Episode dated 12 January 2018	0	2018	\N	\N	Drama
tt8002296	tvEpisode	Episode dated 15 February 2018	Episode dated 15 February 2018	0	2018	\N	\N	News
tt8002298	tvEpisode	Episode dated 16 February 2018	Episode dated 16 February 2018	0	2018	\N	\N	News
tt8002300	tvEpisode	Episode dated 17 January 2018	Episode dated 17 January 2018	0	2018	\N	\N	Drama
tt8002302	tvEpisode	Episode dated 18 January 2018	Episode dated 18 January 2018	0	2018	\N	\N	Drama
tt8002304	tvMovie	Passenger 23	Passagier 23	0	2018	\N	120	Thriller
tt8002308	tvEpisode	Episode dated 19 January 2018	Episode dated 19 January 2018	0	2018	\N	\N	Drama
tt8002310	tvEpisode	Episode #1.204	Episode #1.204	0	1974	\N	\N	Comedy,Drama
tt8002316	tvEpisode	Episode dated 23 January 2018	Episode dated 23 January 2018	0	2018	\N	\N	Drama
tt8002318	tvEpisode	Episode dated 24 January 2018	Episode dated 24 January 2018	0	2018	\N	\N	Drama
tt8002320	tvEpisode	Episode dated 29 January 2018	Episode dated 29 January 2018	0	2018	\N	\N	Drama
tt8002322	tvEpisode	Episode dated 31 January 2018	Episode dated 31 January 2018	0	2018	\N	\N	Drama
tt8002324	tvEpisode	Episode dated 2 February 2018	Episode dated 2 February 2018	0	2018	\N	\N	Drama
tt8002326	tvEpisode	Episode dated 12 February 2018	Episode dated 12 February 2018	0	2018	\N	\N	News
tt8002328	tvEpisode	Episode dated 12 February 2018	Episode dated 12 February 2018	0	2018	\N	\N	Drama
tt8002330	tvEpisode	Episode dated 13 February 2018	Episode dated 13 February 2018	0	2018	\N	\N	News
tt8002332	tvEpisode	Episode #1.203	Episode #1.203	0	1974	\N	\N	Comedy,Drama
tt8002334	tvEpisode	Episode dated 14 February 2018	Episode dated 14 February 2018	0	2018	\N	\N	News
tt8002336	tvEpisode	Episode dated 15 February 2018	Episode dated 15 February 2018	0	2018	\N	\N	News
tt8002338	tvEpisode	Sonea'a Fi Mesr (Part 1)	Sonea'a Fi Mesr (Part 1)	0	2016	\N	\N	Talk-Show
tt8002340	tvEpisode	Episode dated 16 February 2018	Episode dated 16 February 2018	0	2018	\N	\N	News
tt8002342	tvEpisode	Episode dated 12 February 2018	Episode dated 12 February 2018	0	2018	\N	\N	News,Talk-Show
tt8002344	tvEpisode	Alle mine længsler	Alle mine længsler	0	2018	\N	\N	Comedy,Drama
tt8002346	tvEpisode	Episode #1.202	Episode #1.202	0	1974	\N	\N	Comedy,Drama
tt8002348	video	Sports Stoop	Sports Stoop	0	2013	\N	\N	Short,Sport
tt8002350	tvEpisode	Episode dated 13 February 2018	Episode dated 13 February 2018	0	2018	\N	\N	Talk-Show
